"FriendlyName","GUID"
"Microsoft Defender for Endpoint","System.Object[]"
"Microsoft Defender for Endpoint F2","System.Object[]"
"Microsoft Defender for Endpoint P1","System.Object[]"
"Microsoft Defender for Endpoint P1 for EDU","System.Object[]"
"Microsoft Defender for Endpoint P2_XPLAT","System.Object[]"
"Microsoft Defender for Endpoint Server","System.Object[]"
"Microsoft Defender for Identity","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1)","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1) Faculty","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1) GCC","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1) Student","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1) Student use benefit","System.Object[]"
"Microsoft Defender for Office 365 (Plan 1)_USGOV_GCCHIGH","System.Object[]"
"Microsoft Defender for Office 365 (Plan 2)","System.Object[]"
"Microsoft Defender for Office 365 (Plan 2) GCC","System.Object[]"
"Microsoft Defender Vulnerability Management","System.Object[]"
"Microsoft Defender Vulnerability Management Add-on","System.Object[]"
"Microsoft Dynamics AX7 User Trial","System.Object[]"
"Microsoft Dynamics CRM Online","System.Object[]"
"Microsoft Dynamics CRM Online Basic","System.Object[]"
"Microsoft Dynamics CRM Online Basic for Government","System.Object[]"
"Microsoft Dynamics CRM Online for Government","System.Object[]"
"Microsoft Entra ID Basic","System.Object[]"
"Microsoft Entra ID Governance","System.Object[]"
"Microsoft Entra ID P1","System.Object[]"
"Microsoft Entra ID P1 for Faculty","System.Object[]"
"Microsoft Entra ID P1_USGOV_GCCHIGH","System.Object[]"
"Microsoft Entra ID P2","System.Object[]"
"Microsoft Fabric (Free)","System.Object[]"
"Microsoft Fabric (Free) for faculty","System.Object[]"
"Microsoft Fabric (Free) for student","System.Object[]"
"Microsoft Imagine Academy","System.Object[]"
"Microsoft Intune Device","System.Object[]"
"Microsoft Intune Device for Government","System.Object[]"
"Microsoft Intune Government","System.Object[]"
"Microsoft Intune Plan 1 A VL_USGOV_GCCHIGH","System.Object[]"
"Microsoft Intune SMB","System.Object[]"
"Microsoft Intune Suite","System.Object[]"
"Microsoft Power Apps for Developer","System.Object[]"
"Microsoft Power Apps Plan 2 (Qualified Offer)","System.Object[]"
"Microsoft Power Apps Plan 2 Trial","System.Object[]"
"Microsoft Power Automate Free","System.Object[]"
"Microsoft Power Automate Plan 2","System.Object[]"
"Microsoft Relationship Sales solution","System.Object[]"
"Microsoft Sales Copilot","System.Object[]"
"Microsoft Stream","System.Object[]"
"Microsoft Stream Plan 2","System.Object[]"
"Microsoft Stream Storage Add-On (500 GB)","System.Object[]"
"Microsoft Sustainability Manager Premium","System.Object[]"
"Microsoft Sustainability Manager USL Essentials","System.Object[]"
"Microsoft Teams (Free)","System.Object[]"
"Microsoft Teams Audio Conferencing with dial-out to USA/CAN","System.Object[]"
"Microsoft Teams Calling Plan pay-as-you-go (country zone 1 - US)","System.Object[]"
"Microsoft Teams Commercial Cloud","System.Object[]"
"Microsoft Teams Domestic Calling Plan (240 min)","System.Object[]"
"Microsoft Teams EEA","System.Object[]"
"Microsoft Teams Essentials","System.Object[]"
"Microsoft Teams Essentials (AAD Identity)","System.Object[]"
"Microsoft Teams Exploratory","System.Object[]"
"Microsoft Teams Exploratory Dept","System.Object[]"
"Microsoft Teams Phone Resource Account","System.Object[]"
"Microsoft Teams Phone Resource Account for Faculty","System.Object[]"
"Microsoft Teams Phone Resource Account for GCC","System.Object[]"
"Microsoft Teams Phone Resource Account_USGOV_GCCHIGH","System.Object[]"
"Microsoft Teams Phone Standard","System.Object[]"
"Microsoft Teams Phone Standard for DOD","System.Object[]"
"Microsoft Teams Phone Standard for Faculty","System.Object[]"
"Microsoft Teams Phone Standard for GCC","System.Object[]"
"Microsoft Teams Phone Standard for GCCHIGH","System.Object[]"
"Microsoft Teams Phone Standard for Small and Medium Business","System.Object[]"
"Microsoft Teams Phone Standard for Students","System.Object[]"
"Microsoft Teams Phone Standard for TELSTRA","System.Object[]"
"Microsoft Teams Phone Standard_USGOV_DOD","System.Object[]"
"Microsoft Teams Phone Standard_USGOV_GCCHIGH","System.Object[]"
"Microsoft Teams Premium Introductory Pricing","System.Object[]"
"Microsoft Teams Rooms Basic","System.Object[]"
"Microsoft Teams Rooms Basic for EDU","System.Object[]"
"Microsoft Teams Rooms Basic without Audio Conferencing","System.Object[]"
"Microsoft Teams Rooms Pro","System.Object[]"
"Microsoft Teams Rooms Pro for EDU","System.Object[]"
"Microsoft Teams Rooms Pro for GCC","System.Object[]"
"Microsoft Teams Rooms Pro without Audio Conferencing","System.Object[]"
"Microsoft Teams Rooms Standard","System.Object[]"
"Microsoft Teams Rooms Standard for GCC","System.Object[]"
"Microsoft Teams Rooms Standard for GCC without Audio Conferencing","System.Object[]"
"Microsoft Teams Rooms Standard without Audio Conferencing","System.Object[]"
"Microsoft Teams Shared Devices","System.Object[]"
"Microsoft Teams Shared Devices for Faculty","System.Object[]"
"Microsoft Teams Shared Devices for GCC","System.Object[]"
"Microsoft Teams Trial","System.Object[]"
"Microsoft Threat Experts - Experts on Demand","System.Object[]"
"Microsoft Viva Glint","System.Object[]"
"Microsoft Viva Goals","System.Object[]"
"Microsoft Viva Suite","System.Object[]"
"Microsoft Workplace Analytics","System.Object[]"
"Minecraft Education Faculty","System.Object[]"
"Minecraft Education Student","System.Object[]"
"Nonprofit Portal","System.Object[]"
"Office 365 A1 for faculty","System.Object[]"
"Office 365 A1 for students","System.Object[]"
"Office 365 A1 Plus for faculty","System.Object[]"
"Office 365 A1 Plus for students","System.Object[]"
"Office 365 A3 for faculty","System.Object[]"
"Office 365 A3 for students","System.Object[]"
"Office 365 A5 for faculty","System.Object[]"
"Office 365 A5 for students","System.Object[]"
"Office 365 Advanced Compliance","System.Object[]"
"Office 365 Advanced Compliance for GCC","System.Object[]"
"Office 365 Cloud App Security","System.Object[]"
"Office 365 E1","System.Object[]"
"Office 365 E1 EEA (no Teams)","System.Object[]"
"Office 365 E1_USGOV_GCCHIGH","System.Object[]"
"Office 365 E2","System.Object[]"
"Office 365 E3","System.Object[]"
"Office 365 E3 (no Teams)","System.Object[]"
"Office 365 E3 Developer","System.Object[]"
"Office 365 E3 EEA (no Teams)","System.Object[]"
"Office 365 E3_USGOV_DOD","System.Object[]"
"Office 365 E3_USGOV_GCCHIGH","System.Object[]"
"Office 365 E4","System.Object[]"
"Office 365 E5","System.Object[]"
"Office 365 E5 EEA (no Teams)","System.Object[]"
"Office 365 E5 EEA (no Teams) without Audio Conferencing","System.Object[]"
"Office 365 E5 Without Audio Conferencing","System.Object[]"
"Office 365 Extra File Storage","System.Object[]"
"Office 365 Extra File Storage for GCC","System.Object[]"
"Office 365 F3","System.Object[]"
"Office 365 F3 EEA (no Teams)","System.Object[]"
"Office 365 F3_USGOV_GCCHIGH","System.Object[]"
"Office 365 G1 GCC","System.Object[]"
"Office 365 G3 GCC","System.Object[]"
"Office 365 G3 without Microsoft 365 Apps GCC","System.Object[]"
"Office 365 G5 GCC","System.Object[]"
"Office 365 GCC G5 without Audio Conferencing","System.Object[]"
"Office 365 GCC G5 without Power BI and Phone System","System.Object[]"
"Office 365 Midsize Business","System.Object[]"
"Office 365 Multi-Geo Capabilities","System.Object[]"
"Office 365 Small Business","System.Object[]"
"Office 365 Small Business Premium","System.Object[]"
"Office Mobile Apps for Office 365 for GCC","System.Object[]"
"OneDrive for Business (Plan 1)","System.Object[]"
"OneDrive for Business (Plan 2)","System.Object[]"
"Planner and Project Plan 3","System.Object[]"
"Planner Plan 1","System.Object[]"
"Power Apps and Logic Flows","System.Object[]"
"Power Apps Per App BD Only for GCC","System.Object[]"
"Power Apps per app plan","System.Object[]"
"Power Apps per app plan (1 app or portal)","System.Object[]"
"Power Apps per app plan (1 app or website) BD Only - GCC","System.Object[]"
"Power Apps per app plan (1 app or website) for Government","System.Object[]"
"Power Apps per app plan for Government","System.Object[]"
"Power Apps Per User BD Only","System.Object[]"
"Power Apps Portals login capacity add-on Tier 2 (10 unit min)","System.Object[]"
"Power Apps Portals login capacity add-on Tier 2 (10 unit min) for Government","System.Object[]"
"Power Apps Portals login capacity add-on Tier 3 (50 unit min)","System.Object[]"
